CONTINENT_CODE,CONTINENT_NAME,COUNTRY_CODE,COUNTRY_NAME,AREA_CODE,AREA_NAME,ADMIN_LEVEL,ITEM_CODE,ITEM_NAME,YEAR,PRODUCTION,SOURCE,COMMENTS,,
AFR,All African countries,MDG,Madagascar,MDG002,Antsiranana,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,MDG,Madagascar,MDG003,Fianarantsoa,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,MDG,Madagascar,MDG004,Mahajanga,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,MDG,Madagascar,MDG005,Toamasina,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,MDG,Madagascar,MDG006,Toliary,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,MLI,Mali,MLI002,Kayes,1,125,Cassava,Most recent,2318,IITA,,,
AFR,All African countries,MLI,Mali,MLI004,Koulikoro,1,125,Cassava,Most recent,26754,IITA,,,
AFR,All African countries,MLI,Mali,MLI005,Mopti,1,125,Cassava,Most recent,313,IITA,,,
AFR,All African countries,MLI,Mali,MLI006,Segou,1,125,Cassava,Most recent,19173,IITA,,,
AFR,All African countries,MLI,Mali,MLI007,Sikasso,1,125,Cassava,Most recent,49436,IITA,,,
AFR,All African countries,MLI,Mali,MLI008,Tombouctou,1,125,Cassava,Most recent,2005,IITA,,,
AFR,All African countries,MOZ,Mozambique,MOZ001,Cabo Delgado,1,125,Cassava,Most recent,313660,AgroMapsAdm1,,,
AFR,All African countries,MOZ,Mozambique,MOZ002,Gaza,1,125,Cassava,Most recent,105410,AgroMapsAdm1,,,
AFR,All African countries,MOZ,Mozambique,MOZ003,Inhambane,1,125,Cassava,Most recent,167520,AgroMapsAdm1,,,
AFR,All African countries,MOZ,Mozambique,MOZ004,Manica,1,125,Cassava,Most recent,103540,AgroMapsAdm1,,,
AFR,All African countries,MOZ,Mozambique,MOZ005,Maputo,1,125,Cassava,Most recent,42530,AgroMapsAdm1,,,
AFR,All African countries,MOZ,Mozambique,MOZ006,Nampula,1,125,Cassava,Most recent,896700,AgroMapsAdm1,,,
AFR,All African countries,MOZ,Mozambique,MOZ007,Nassa,1,125,Cassava,Most recent,427620,AgroMapsAdm1,,,
AFR,All African countries,MOZ,Mozambique,MOZ008,Sofala,1,125,Cassava,Most recent,153200,AgroMapsAdm1,,,
AFR,All African countries,MOZ,Mozambique,MOZ009,Tete,1,125,Cassava,Most recent,30270,AgroMapsAdm1,,,
AFR,All African countries,MOZ,Mozambique,MOZ010,Zambezia,1,125,Cassava,Most recent,1814140,AgroMapsAdm1,,,
AFR,All African countries,MWI,Malawi,MWI001,Central,1,125,Cassava,Most recent,1415094.14,AgroMapsAdm1,,,
AFR,All African countries,MWI,Malawi,MWI002,Northern,1,125,Cassava,Most recent,801770,AgroMapsAdm1,,,
AFR,All African countries,MWI,Malawi,MWI003,Southern,1,125,Cassava,Most recent,920443.07,AgroMapsAdm1,,,
AFR,All African countries,NGA,Nigeria,NGA001,Abia,1,125,Cassava,2007,635970,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA002,Adamawa,1,125,Cassava,2007,13010,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA003,Akwa Ibom,1,125,Cassava,2007,1587690,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA004,Anambra,1,125,Cassava,2007,1608720,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA005,Bauchi,1,125,Cassava,2007,14770,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA006,Bayelsa,1,125,Cassava,2007,454180,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA007,Benue,1,125,Cassava,2007,3571480,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA008,Borno,1,125,Cassava,2007,5000,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA009,Cross River,1,125,Cassava,2007,3210010,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA010,Delta,1,125,Cassava,2007,1401400,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA011,Ebonyi,1,125,Cassava,2007,887540,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA012,Edo,1,125,Cassava,2007,695000,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA013,Ekiti,1,125,Cassava,2007,1215390,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA014,Enugu,1,125,Cassava,2007,2946750,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA015,"FCT, Abuja",1,125,Cassava,2007,44800,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA016,Gombe,1,125,Cassava,2007,7840,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA017,Imo,1,125,Cassava,2007,3290490,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA018,Jigawa,1,125,Cassava,2007,115702.5361,MOA (IITA),Estimated,,
AFR,All African countries,NGA,Nigeria,NGA019,Kaduna,1,125,Cassava,2007,1863300,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA020,Kano,1,125,Cassava,2007,43550,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA021,Katsina,1,125,Cassava,2007,121210,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA022,Kebbi,1,125,Cassava,2007,453440,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA023,Kogi,1,125,Cassava,2007,3631940,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA024,Kwara,1,125,Cassava,2007,1111270,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA025,Lagos,1,125,Cassava,2007,746280,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA026,Nassarawa,1,125,Cassava,2007,871120,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA027,Niger,1,125,Cassava,2007,584200,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA028,Ogun,1,125,Cassava,2007,1829210,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA029,Ondo,1,125,Cassava,2007,2360980,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA030,Osun,1,125,Cassava,2007,738600,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA031,Oyo,1,125,Cassava,2007,1488330,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA032,Plateau,1,125,Cassava,2007,334790,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA033,Rivers,1,125,Cassava,2007,1535450,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA034,Sokoto,1,125,Cassava,2007,10060,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA035,Taraba,1,125,Cassava,2007,2315410,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA036,Yobe,1,125,Cassava,2007,26500,MOA (IITA),,,
AFR,All African countries,NGA,Nigeria,NGA037,Zamfara,1,125,Cassava,2007,790,MOA (IITA),,,
AFR,All African countries,RWA,Rwanda,RWA001,Butare,1,125,Cassava,Most recent,78541,AgroMapsAdm1,,,
AFR,All African countries,RWA,Rwanda,RWA002,Byumba,1,125,Cassava,Most recent,30011,AgroMapsAdm1,,,
AFR,All African countries,RWA,Rwanda,RWA003,Cyangugu,1,125,Cassava,Most recent,81900,AgroMapsAdm1,,,
AFR,All African countries,RWA,Rwanda,RWA004,Gikongoro,1,125,Cassava,Most recent,28575,AgroMapsAdm1,,,
AFR,All African countries,RWA,Rwanda,RWA005,Gisenyi,1,125,Cassava,Most recent,28000,AgroMapsAdm1,,,
AFR,All African countries,RWA,Rwanda,RWA006,Gitarama,1,125,Cassava,Most recent,175140,AgroMapsAdm1,,,
